numero,fecha,vendedor,numero_cliente,subtotal,iva,total,descripcion
59,2023-01-16,Marcio Porcel Vergara,1,15214.71,1825.7651999999998,17040.4752,"Administration event check value. Then event increase drop whatever share husband.
Might place data will clearly treat hundred glass. They study investment positive else."
60,2023-01-17,Tomás Chucho Gordillo Sáez,23,9889.93,1186.7916,11076.7216,"Mention term loss box event. Stage entire finish.
Note agree system suddenly. Simple current mother a above. Artist us soon low."
61,2023-01-18,Gabriel Muro Prado,98,13459.07,1615.0883999999999,15074.1584,These simply crime deal compare technology worker our. Fish treatment next almost try option tonight. South color citizen store series any use whom. Perform response because body.
62,2023-01-05,Piedad Alcalá Ramos,19,6677.86,801.3431999999999,7479.2032,"Wait must character action room bill. Fly fight town fish their along.
Training pay quickly even seek. Argue bar security light window."
63,2023-01-05,Mónica Rozas Figuerola,40,15144.03,1817.2836,16961.3136,Line friend radio public. Service party finally because own better. Never painting news health.
64,2023-01-18,Graciela Martinez Cornejo,29,12484.15,1498.098,13982.248,"See anyone financial military key quite. Doctor time sit let. Couple work order high change. Up street Mr.
Economic billion staff peace keep happen common. Kind involve decision believe seem."
65,2023-01-01,Francisco Javier Bastida Luque,86,6126.65,735.198,6861.848,Pressure back important seem may mouth my. Low level state issue must. Prevent election himself hold reality. Play public eight easy technology.
66,2023-01-08,Francisco Javier Barceló Castro,57,10410.87,1249.3044,11660.1744,"Method local situation once sister food. Require one though finish couple listen break.
Myself heart voice. Point American statement leader court too inside."
67,2023-01-16,Petrona Coronado Águila,79,14891.09,1786.9307999999999,16678.0208,"Than born oil account. Spring generation leader child safe.
During woman minute soldier I attention. Address plant serious each try sing."
68,2023-01-02,Heraclio Lerma Nicolás,83,10413.7,1249.644,11663.344000000001,"Science cover sort amount than some night. Eye might investment through design other. Player provide mean when knowledge.
Dream several age real. Appear maintain everything dinner affect."
69,2023-01-03,Jose Angel Carnero,11,8974.78,1076.9736,10051.7536,"Include rule fill thus nor whether instead. Off face rise however.
Two great evening. Society perhaps far game ground along."
70,2023-01-15,Poncio Nuñez-Montero,76,11461.01,1375.3211999999999,12836.3312,Whether wall property not. Onto better different choice. International leave wear parent cup.
71,2023-01-01,Purificación Montserrat-Manuel,83,10053.62,1206.4344,11260.0544,"Once woman notice seek. Deep some know similar kitchen market. It our never only any agency.
Player general college impact alone break enough create. Produce course decade loss personal house."
72,2023-01-13,José Sales Sanz,35,6522.48,782.6976,7305.177599999999,Financial miss floor decision law explain. Threat store recognize beautiful end tend will class. Number expert include knowledge. Sport idea form common.
73,2023-01-10,Manuela Palacio Benavides,14,16305.39,1956.6467999999998,18262.036799999998,"Oil difficult late grow five. We product several minute campaign want set. Magazine offer lead sense evening someone.
Section look wonder city. Including five option. Color financial law practice."
74,2023-01-04,Leire Valenzuela Blanes,48,13338.42,1600.6104,14939.0304,"Together energy vote can message. Event stop ball reveal.
Name give enter result. Whose evening bad then appear. Late voice task whatever table."
75,2023-01-04,Pancho Buendía Niño,67,19490.32,2338.8384,21829.1584,"Still must same table father interview ask. Style Democrat upon pay. Together enough care believe.
Heavy democratic it later. Buy report computer hour behind."
76,2023-01-18,Hilda Paniagua Arribas,15,5239.74,628.7687999999999,5868.5088,Service picture attention area particular plan. Upon road least bring.
77,2023-01-14,Samuel Acuña Alegria,4,17615.51,2113.8612,19729.371199999998,"Laugh interesting kind last. Bad third million daughter discover see. She sport end.
Between today anyone southern. Hot direction soldier notice. Nearly there hot sense."
78,2023-01-01,Eustaquio Joan Plana Benavides,69,7085.34,850.2408,7935.5808,"Music again only commercial on wide majority. Continue special imagine. Let walk keep rather.
Off option last audience speak professor small."
79,2023-01-06,Aurelio Almeida Robledo,27,12738.84,1528.6607999999999,14267.5008,"Every by hold. Away ahead moment rather politics effect message.
Owner until agreement ago statement. Floor exist local check free send part nature. Assume away expert support plan."
80,2023-01-13,Domitila Villegas Abella,1,9104.85,1092.582,10197.432,Effort natural concern billion catch road effect floor. Certainly indeed those full stage artist.
81,2023-01-03,Aitana Nogués-Jara,73,5182.01,621.8412,5803.8512,"Until lawyer remember all loss. Summer laugh may participant page ability.
Serious sometimes nation. Charge buy pressure together poor. Score sister whether whose court."
82,2023-01-01,Pelayo Gutiérrez Bosch,64,6832.04,819.8448,7651.8848,"Social push nearly fact clear. Old movement nearly process under. Whom example evening stage operation structure.
Color line hope cup girl part. Rock eight exist method new consider."
83,2023-01-08,Cornelio Mulet Manrique,38,11976.12,1437.1344000000001,13413.254400000002,"Mrs collection adult increase. Travel lay under research force nor hold together. Treat I project wide follow morning.
Personal respond security. Watch on think size. Manage huge picture son."
84,2023-01-10,Trinidad Blanco Peñas,73,18128.72,2175.4464000000003,20304.166400000002,Fact letter admit lawyer nothing real theory near. Avoid beat small protect catch drug. About newspaper performance interview teacher together the.
85,2023-01-17,Lucas Barco-Llamas,57,8147.53,977.7035999999999,9125.2336,"Those commercial anyone floor. Suggest you see want.
Ahead meeting some song reality start. American include red moment message catch similar skill.
Loss bit radio cold how town attack."
86,2023-01-15,Maristela de Galiano,21,9420.83,1130.4995999999999,10551.3296,Really thought experience page. International person take down. Available some event investment approach.
87,2023-01-14,Ramón Roda Cardona,59,13880.25,1665.6299999999999,15545.88,Professor which play stuff. Wonder note inside stop own street believe. Affect detail election every chair system. Thing happy step buy decision watch face.
88,2023-01-02,Mariano Menéndez-Carrasco,41,19390.73,2326.8876,21717.617599999998,Stage through here often term fly entire. Religious back decide oil mind. Sport newspaper chance third.
89,2023-01-01,Lara Villegas Ramirez,27,9861.71,1183.4052,11045.115199999998,Me bag body democratic front finish. Between often civil above nation interest sound.
90,2023-01-06,Gregorio Arnau,18,3437.48,412.4976,3849.9776,"Safe and same majority cell company dinner.
Law right daughter cup. Ahead available but art store official need fast."
91,2023-01-14,Leocadia España-Cal,65,19316.77,2318.0124,21634.7824,Win west season small alone property. Across skill central government field. Yourself page cause what can take skill. Indeed ago argue focus key appear.
92,2023-01-11,Cayetano Mesa Carbajo,51,15741.33,1888.9596,17630.2896,Movement receive pretty career. Response available heavy which. Fly voice later mission. By response take yet us.
93,2023-01-16,Manuelita Bermúdez Porcel,2,12444.26,1493.3111999999999,13937.5712,"East really debate political yeah enough. Machine responsibility usually green consumer.
Father opportunity candidate decade education them look. Plant detail social its figure owner treat."
94,2023-01-17,Ambrosio Ruano Cerezo,60,10399.11,1247.8932,11647.003200000001,Produce admit southern blue face water defense. Station offer other everybody store wonder public free.
95,2023-01-03,Azeneth Agullo Vicens,94,17324.38,2078.9256,19403.3056,"Experience actually eye theory thought kid. Marriage director study.
Environment share respond south discover rock. Serious black so art nice research."
96,2023-01-02,Máximo Barrena Bas,73,3853.89,462.4668,4316.3568,Statement operation assume collection movement join star. Official type cell thought tough. Leave two program his air Democrat game.
97,2023-01-03,Leonor Lina Tormo Porras,73,14463.8,1735.656,16199.455999999998,"Bar medical break sense western realize summer.
Republican significant health size hold opportunity guess. College government gun."
98,2023-01-15,Antonio de Hoz,11,8577.57,1029.3084,9606.8784,"Military field news. Hospital place price million marriage wonder. Move order such yeah officer.
Agreement sign short help throw receive. Good garden bag agree cold thousand week."
99,2023-01-12,Ángel Almazán Pardo,21,7984.99,958.1987999999999,8943.1888,Way difference physical. Alone summer open region occur himself.
100,2023-01-05,Adalberto Mendoza Novoa,61,19823.01,2378.7612,22201.7712,Today speech same more individual final type. Attention player decade land name among gun focus. Card yeah common American toward group behind.
101,2023-01-02,Lucio Manuel-Criado,18,19415.67,2329.8803999999996,21745.550399999996,"Fear deep total market. Agent popular ok quality.
Recently area talk benefit benefit."
102,2023-01-01,Bruno Cabañas,61,15145.87,1817.5044,16963.3744,Other church country four sort reduce example rise. Result well store. Guess establish clear art.
103,2023-01-07,Francisca del Quiroga,6,6525.6,783.072,7308.6720000000005,You question arrive look whom throw. Knowledge central growth animal much mean stuff. Traditional game discover which.
104,2023-01-15,Elena Robledo,56,4016.42,481.9704,4498.3904,Perhaps director certain finally gun environment pretty. Soldier race artist force pull involve record.
105,2023-01-14,Nerea Diéguez Bayo,3,8825.75,1059.09,9884.84,"Guess gun air senior base focus economy. Next receive others peace leader wish deal. Her past network student well.
Think across animal house. Number rock either chance."
106,2023-01-06,Jacinta Andrés Gallego,34,8060.0,967.1999999999999,9027.2,"Different help building hospital especially system trouble.
Address loss great low newspaper area send. Ok remain mind."
107,2023-01-09,Román Coronado Márquez,58,16726.85,2007.2219999999998,18734.072,"Author ago down card activity. Above next during simply especially.
According serve adult nor third pick. Maybe film force help sing serious. Religious decide service central record him someone."
108,2023-01-03,Noé Pavón Manzanares,40,4255.39,510.64680000000004,4766.036800000001,Design matter else voice real agency. Mission heart build baby reflect. Explain everything share interview remember.
109,2023-01-13,Albino del Gimeno,9,6183.83,742.0595999999999,6925.8895999999995,"Assume gas suggest fill street speak. Animal design candidate health.
Administration fine center. Card discussion simply my focus.
Science event important three could box. Area different issue real."
110,2023-01-14,Flavia Cadenas Cid,87,8027.19,963.2628,8990.4528,"Board four building peace step. Remain its dog item great feeling later. West certainly yeah each.
Receive hard writer mention. Explain sometimes take kid."
111,2023-01-09,Lisandro Torrijos Vilaplana,30,17991.25,2158.95,20150.2,"Gun professor heavy. Training only unit staff nor easy.
Record beyond even former of opportunity message. Statement same analysis cold. Consider debate war address class summer."
112,2023-01-11,Santos Castell Manzano,49,18194.14,2183.2968,20377.4368,"Interest do allow concern charge. Environmental point alone middle successful side.
Mouth recently lay clearly although. Customer site try. Small week site surface."
113,2023-01-04,Luciano Campo Gallego,52,8152.39,978.2868,9130.676800000001,"Example picture probably another eight sense. Relate scientist article language home possible.
Toward deep industry you performance. Pass interview day however see current."
114,2023-01-03,David Tejero Baena,15,7467.89,896.1468,8364.0368,"Her run law statement though get American. Take support fill star writer employee court. Although against guy enjoy activity.
Yet once large."
115,2023-01-17,Roberta Tejero Cid,75,10640.0,1276.8,11916.8,"Fill analysis between. Ground left natural like worry guy your.
Plan spring as politics like. Bit red hundred whatever. Reality happy program head."
116,2023-01-13,Leticia Valbuena Pulido,85,16305.17,1956.6204,18261.7904,"History become many son. Find bank issue hour degree choose.
Rich maintain talk right lead thing color. Television wish must protect factor unit. War design above night only usually."
117,2023-01-14,Pili Nélida Reguera Yuste,8,13098.99,1571.8788,14670.8688,"Change Congress close after population relate miss. Cell include doctor view reach whom food.
Indeed dream entire. Piece two offer board it see."
118,2023-01-04,Marcelino Escamilla Rivero,26,10937.68,1312.5216,12250.2016,"Letter time five person travel daughter necessary. Yes require may modern.
Pm like event can whether note save. Year finish music consider plan weight technology pattern."
119,2023-01-16,Marc Ramirez Tomé,84,4213.4,505.60799999999995,4719.008,"World government open national. Fact boy culture show not maintain.
Lot his general fight difficult policy before. Yard campaign issue could. Way ago yeah long place."
120,2023-01-13,Felisa Marín Jódar,88,15048.26,1805.7912,16854.0512,"Enough treatment rise want message month. Pattern each general yes land. Likely trial drop mention.
Six require store ground someone author. Chance most political like investment east then."
121,2023-01-18,Amelia Angulo Madrid,58,15591.0,1870.9199999999998,17461.92,"Single five seat. Those list guess movement office.
Week sell thought professor manager whose every data. Cover recently sister page trial small."
122,2023-01-03,Olivia Quintero Nuñez,14,3607.1,432.852,4039.9519999999998,Customer professional poor audience sound television want particularly. Glass child year cell by morning recognize window.
123,2023-01-10,Mónica Trinidad Pintor Torres,68,13720.25,1646.4299999999998,15366.68,"Despite impact model pretty discuss act. Garden hospital house. Drive tree stock student store goal.
Information shake civil health concern. Debate newspaper after say Congress movie."
124,2023-01-10,Jose Ignacio de Oliveras,98,9085.61,1090.2732,10175.8832,"Late vote at amount prepare traditional clearly. Fill determine go argue. Source tree owner what high coach.
Produce white too think develop. Staff way who subject among. Policy region husband."
125,2023-01-02,Celso Cervantes Vergara,21,5027.96,603.3552,5631.3152,"What fish view usually. History whom best build factor. Federal score scene perhaps hospital beautiful.
Leader sport entire his as. Series fire how fast live book president."
126,2023-01-18,Jose Ignacio Antón Sarmiento,85,16424.69,1970.9627999999998,18395.6528,"Right seem teach exactly read accept offer. Production Democrat language.
Down few plan voice. Idea partner college agent indeed."
127,2023-01-16,Luisina Dueñas Salinas,24,11846.96,1421.6352,13268.5952,"Trouble go owner see. Blue about lose travel. Try bill alone continue capital.
Nothing nothing answer service. Let technology policy minute myself. Environment point lose move color though line."
128,2023-01-15,Segismundo Miralles,66,12664.97,1519.7964,14184.766399999999,"House cold certainly sometimes. Wall himself player political.
Protect from network laugh rock gas nor. Whole for so member than."
129,2023-01-16,Adelardo Posada Jódar,16,6621.09,794.5308,7415.620800000001,Throughout prevent choose nice. Out most watch hope. Since cultural door just. Figure writer could war.
130,2023-01-03,Adelia Moliner Antúnez,46,10577.86,1269.3432,11847.2032,"Loss even address history maybe.
Others no world ok public get say. Yourself car seek hour account create. Physical edge hear hair election."
131,2023-01-18,Adriana Ponce Cuéllar,99,3514.03,421.6836,3935.7136,"Be least stand here wonder. Area once admit trade surface teacher. Receive represent later maybe soldier hour.
Power station business activity agency than environment. Out from front agency she."
132,2023-01-11,Cleto Parejo Salgado,69,6747.53,809.7035999999999,7557.2336,One get yet. Source if sport kind. East set hot national Mr first. Agent policy star.
133,2023-01-13,Sabas Goñi Carmona,18,10822.24,1298.6688,12120.9088,Spend prove recent perhaps should whether. Group situation brother arm price sort. Group less service fast audience analysis.
134,2023-01-15,Cristóbal Boada Carrera,4,11385.41,1366.2492,12751.6592,Have more capital window population central. Not rule end spend.
135,2023-01-03,Telmo Carbó Solana,89,9868.04,1184.1648,11052.204800000001,"Difference pull forward. Wear ask else food remain theory.
Will situation degree body anyone across. Market character project. Nation simply instead travel book."
136,2023-01-03,Noemí de Esparza,98,13802.47,1656.2964,15458.766399999999,Collection action also push himself stage. Body middle simply after role. Heart upon conference realize population than he.
137,2023-01-13,Marcelino Benítez Marin,49,8620.12,1034.4144000000001,9654.5344,Full be as. Now American myself room window oil camera. Film scene occur well capital stuff able.
138,2023-01-16,María Luisa Belda Pino,60,13054.91,1566.5892,14621.4992,"Goal sit business goal cup.
Education however computer result him so. Effort different attention fund parent ever by. Different human would something join feeling."
139,2023-01-03,Nazaret Marita Amo Casares,67,13943.01,1673.1612,15616.1712,"Group prevent cold party return also serious. Realize scientist phone seem group affect.
Along event million professional. Task case wait improve those."
140,2023-01-13,Fito Torres Vives,51,9843.6,1181.232,11024.832,Drug friend thousand simply really when. Police we account hit whose weight option.
141,2023-01-08,Federico Pombo-Tamarit,58,18695.39,2243.4467999999997,20938.836799999997,Play piece coach movement stock authority daughter job. Account accept knowledge body market. In land develop couple positive evidence. Worry agent bank book position author.
142,2023-01-16,Encarnación Pablo Bernad,67,7690.49,922.8588,8613.3488,"Win at health language eye we. Eat upon central yourself officer particular.
Notice reality official start. Area ground economy Congress far weight. If positive design this Mrs song civil."
143,2023-01-12,Isaac Murillo Verdejo,66,3083.59,370.0308,3453.6208,"Head person dark throughout show. Day national yeah stage government call benefit.
Mission trip themselves campaign international end wear. Boy deep staff less. Car across recognize."
144,2023-01-05,Albert Jordi Gonzalo Nebot,86,10520.01,1262.4012,11782.4112,Treatment recently whose. Chance onto look how despite. Consider institution especially break bank knowledge indicate.
145,2023-01-16,Ariadna Vives Vicens,80,6443.42,773.2103999999999,7216.6304,"Discussion teacher suddenly. Eight cost four process front them. Painting throw fly brother store brother. Great officer whether less.
Environment road kind agency help include. Wait left lay only."
146,2023-01-07,Benito Méndez Lladó,15,14494.64,1739.3567999999998,16233.996799999999,Three strategy good. Meet nice any network tough choice. Information stock program return standard form. Voice official seem need claim per whatever.
147,2023-01-04,Juliana Quirós Moya,76,17935.23,2152.2275999999997,20087.457599999998,"Fight show main level. Choose evidence citizen word list. Able manager attack relationship miss meeting.
Create and cold exist. Around campaign almost get build set. Feel exist food specific."
148,2023-01-18,Emperatriz Nicolau Bustos,17,8300.37,996.0444000000001,9296.414400000001,Cold go protect third affect official form. Prevent event board.
149,2023-01-08,Domitila Gámez Francisco,4,3034.67,364.1604,3398.8304,"Involve hear knowledge enough several total want present. Later foreign special network.
Toward institution born relationship happen performance. Ground and impact Mrs walk there."
150,2023-01-15,Ulises Echevarría-Tenorio,42,14995.63,1799.4755999999998,16795.1056,"Hear few poor read performance cost sign. Alone our would.
Sell design rule charge interesting. General sort agreement debate least thus million. Actually only product amount outside yard."
151,2023-01-13,Silvia Jove Villanueva,69,3882.08,465.84959999999995,4347.9295999999995,"Leg of record use city especially whether arrive. Drug like ahead whole lawyer cup today. Thank enter health there.
Never up finally dog loss. Daughter nice impact news change happy crime."
152,2023-01-10,Ciríaco Cañizares Montalbán,25,13800.65,1656.078,15456.728,"Economic investment while. Be whether dark student. Occur way network research budget.
Development style hour administration employee similar none. Page response southern fine clearly set."
153,2023-01-07,Micaela Carvajal,25,14251.24,1710.1488,15961.3888,Bring marriage focus reveal find political adult. Phone end themselves tax maybe begin. World strategy each treatment thank suddenly not.
154,2023-01-05,Eufemia Pacheco,23,15222.39,1826.6868,17049.0768,Not network control boy tend night. Who relationship place region. Stuff majority material wonder run. Computer serious wear language.
155,2023-01-18,Benita Sáenz Campos,17,8761.49,1051.3788,9812.8688,Environment knowledge perform official game. Inside as painting best difficult plan. Speech usually must pressure. Officer pretty page.
156,2023-01-14,Evelia Camps Amador,73,14866.78,1784.0136,16650.7936,"Adult him without west one. Check condition put five early imagine computer simply. Tree through so sing.
More reflect really modern soldier. Trial reflect ok technology benefit special."
157,2023-01-10,Mercedes Galindo Quevedo,37,7989.76,958.7712,8948.5312,Rich over month table impact. Administration manager blood ask clearly house grow. Tell thousand relationship reason work total conference. Message official talk it training more.
158,2023-01-16,Chus Angélica Madrid Andrés,45,18633.0,2235.96,20868.96,"Structure will blood feel factor. Direction my speak. Letter continue Mr fly peace.
Black bank energy four. Child these wrong. Bank article evening need Congress this those."
